
"Products","October 2023","November 2023","December 2023","Dollars"
"Salad greens, 142 grams 5","4.59","4.59","4.68"
"Frozen french fried potatoes, 750 grams 5","3.35","3.26","3.32"
"Frozen green beans, 750 grams 5","3.85","4.04","4.00"
"Frozen broccoli, 500 grams 4","3.75","4.00","3.63"
"Frozen corn, 750 grams  5","3.46","3.70","3.51"
"Frozen mixed vegetables, 750 grams  5","3.73","3.92","3.87"
"Frozen peas, 750 grams 5","3.45","3.65","3.55"
"Frozen pizza, 390 grams 5","4.85","4.73","4.70"
"Frozen spinach, 300 grams 5","1.94","2.04","1.93"
"Frozen strawberries, 600 grams 4","5.11","4.92","4.93"
"White bread, 675 grams 5","3.63","3.59","3.46"
"Flatbread and pita, 500 grams  5","4.08","4.00","4.15"
"Crackers and crisp breads, 200 grams  4","2.76","2.77","2.66"
"Cookies and sweet biscuits, 300 grams  5","3.13","3.12","3.29"
"Dry or fresh pasta, 500 grams 5","3.39","3.41","3.56"
"Brown rice, 900 grams  5","5.92","5.86","5.84"
"White rice, 2 kilograms 5","9.65","9.63","9.53"
"Cereal, 400 grams 5","4.16","4.17","4.13"
"Wheat flour, 2.5 kilograms 5","5.64","5.46","5.68"
"White sugar, 2 kilograms 5","2.77","2.92","3.03"
"Apple juice, 2 litres 5","3.87","3.74","4.00"
"Orange juice, 2 litres 5","4.53","4.70","4.95"
"Roasted or ground coffee, 340 grams 5","6.39","6.56","6.56"
"Tea (20 bags) 4","4.48","4.39","4.29"
"Ketchup, 1 litre 5","4.81","4.81","4.70"
"Vegetable oil, 3 litres 5","11.07","10.35","10.48"
"Canola oil, 3 litres 5","12.38","11.67","11.98"
"Olive oil, 1 litre 5","12.81","14.01","14.33"
"Baby food, 128 millilitres 5","1.54","1.64","1.57"
"Infant formula, 900 grams  5","40.18","41.16","41.49"
"Peanut butter, 1 kilogram 5","6.21","6.27","6.33"
"Mayonnaise, 890 millilitres  5","6.46","6.51","6.46"
"Canned baked beans, 398 millilitres 5","1.95","1.71","1.76"
"Canned tomatoes, 796 millilitres 5","2.05","2.12","2.10"
"Canned soup, 284 millilitres 5","1.18","1.56","1.77"
"Canned beans and lentils, 540 millilitres 4","1.66","1.73","1.81"
"Canned corn, 341 millilitres 5","1.49","1.60","1.51"
"Canned peach, 398 millilitres 5","2.67","2.62","2.61"
"Canned pear, 398 millilitres 5","2.74","2.62","2.63"
"Dried lentils, 900 grams 5","3.91","3.97","4.02"
"Dry beans and legumes, 900 grams  5","3.55","3.60","3.63"
"Tofu, 350 grams  5","2.68","2.66","2.66"
"Hummus, 227 grams 5","3.89","3.85","3.65"
"Salsa, 418 millilitres 5","4.75","4.70","4.67"
"Pasta sauce, 650 millilitres 5","3.15","3.10","3.43"
"Salad dressing, 475 millilitres 5","3.41","3.41","3.39"
"Almonds, 200 grams 5","4.74","4.58","4.60"
"Peanuts, 450 grams 5","3.88","3.76","3.83"
"Sunflower seeds, 400 grams  5","4.40","4.42","4.43"
"Deodorant, 85 grams 5","7.17","7.25","7.44"
"Toothpaste, 100 millilitres 5","3.65","3.82","3.86"
"Shampoo, 400 millilitres 5","6.78","6.63","6.80"
"Laundry detergent, 4.43 litres 5","15.00","15.60","15.79"
